"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","477","should allow me to display active items","chromium","Mon Nov 04 08:02:54 GMT 2024","passed","Mon Nov 04 08:02:55 GMT 2024","Routing","tests-examples/demo-todo-app.spec.ts","",""
"","433","should remove the item if an empty text string was entered","chromium","Mon Nov 04 08:02:51 GMT 2024","passed","Mon Nov 04 08:02:52 GMT 2024","Editing","tests-examples/demo-todo-app.spec.ts","",""
"","604","should allow me to display all items","chromium","Mon Nov 04 08:02:56 GMT 2024","passed","Mon Nov 04 08:02:57 GMT 2024","Routing","tests-examples/demo-todo-app.spec.ts","",""
"","469","should be hidden when there are no items that are completed","chromium","Mon Nov 04 08:02:53 GMT 2024","passed","Mon Nov 04 08:02:54 GMT 2024","Clear completed button","tests-examples/demo-todo-app.spec.ts","",""
"","547","should persist its data","chromium","Mon Nov 04 08:02:54 GMT 2024","passed","Mon Nov 04 08:02:54 GMT 2024","Persistence","tests-examples/demo-todo-app.spec.ts","",""
"","503","should allow me to clear the complete state of all items","chromium","Mon Nov 04 08:02:47 GMT 2024","passed","Mon Nov 04 08:02:48 GMT 2024","Mark all as completed","tests-examples/demo-todo-app.spec.ts","",""
"","440","should trim entered text","chromium","Mon Nov 04 08:02:51 GMT 2024","passed","Mon Nov 04 08:02:51 GMT 2024","Editing","tests-examples/demo-todo-app.spec.ts","",""
"","489","should display the correct text","chromium","Mon Nov 04 08:02:52 GMT 2024","passed","Mon Nov 04 08:02:53 GMT 2024","Clear completed button","tests-examples/demo-todo-app.spec.ts","",""
"","553","should allow me to display completed items","chromium","Mon Nov 04 08:02:56 GMT 2024","passed","Mon Nov 04 08:02:56 GMT 2024","Routing","tests-examples/demo-todo-app.spec.ts","",""
"","568","should append new items to the bottom of the list","chromium","Mon Nov 04 08:02:46 GMT 2024","passed","Mon Nov 04 08:02:47 GMT 2024","New Todo","tests-examples/demo-todo-app.spec.ts","",""
"","5618","Enter valid credentials and sign up @smoke","chromium","Mon Nov 04 08:02:41 GMT 2024","passed","Mon Nov 04 08:02:47 GMT 2024","Registration From tests found on the signup/register page @regression ","tests/registrationTests.spec.ts","",""
"","3116","Login with incorrect credentials","chromium","Mon Nov 04 08:02:55 GMT 2024","passed","Mon Nov 04 08:02:58 GMT 2024","Registration From tests found on the signup/register page @regression ","tests/registrationTests.spec.ts","",""
"","491","should allow me to mark all items as completed","chromium","Mon Nov 04 08:02:47 GMT 2024","passed","Mon Nov 04 08:02:47 GMT 2024","Mark all as completed","tests-examples/demo-todo-app.spec.ts","",""
"","536","should allow me to mark items as complete","chromium","Mon Nov 04 08:02:48 GMT 2024","passed","Mon Nov 04 08:02:49 GMT 2024","Item","tests-examples/demo-todo-app.spec.ts","",""
"","471","should allow me to edit an item","chromium","Mon Nov 04 08:02:49 GMT 2024","passed","Mon Nov 04 08:02:50 GMT 2024","Item","tests-examples/demo-todo-app.spec.ts","",""
"","606","should respect the back button","chromium","Mon Nov 04 08:02:55 GMT 2024","passed","Mon Nov 04 08:02:56 GMT 2024","Routing","tests-examples/demo-todo-app.spec.ts","",""
"","468","should display the current number of todo items","chromium","Mon Nov 04 08:02:52 GMT 2024","passed","Mon Nov 04 08:02:52 GMT 2024","Counter","tests-examples/demo-todo-app.spec.ts","",""
"","4057","Login User with correct email and password","chromium","Mon Nov 04 08:02:41 GMT 2024","passed","Mon Nov 04 08:02:45 GMT 2024","","tests/testMobile.spec.ts","",""
"","486","should allow me to un-mark items as complete","chromium","Mon Nov 04 08:02:49 GMT 2024","passed","Mon Nov 04 08:02:49 GMT 2024","Item","tests-examples/demo-todo-app.spec.ts","",""
"","2760","Signup with existing email","chromium","Mon Nov 04 08:02:58 GMT 2024","passed","Mon Nov 04 08:03:01 GMT 2024","Registration From tests found on the signup/register page @regression ","tests/registrationTests.spec.ts","",""
"","5603","Enter valid credentials and sign up","chromium","Mon Nov 04 08:02:41 GMT 2024","passed","Mon Nov 04 08:02:47 GMT 2024","Registration From tests found on the signup/register page ","tests/testWithFictures.spec.ts","",""
"","464","should highlight the currently applied filter","chromium","Mon Nov 04 08:02:57 GMT 2024","passed","Mon Nov 04 08:02:57 GMT 2024","Routing","tests-examples/demo-todo-app.spec.ts","",""
"","3233","Login User with correct email and password","chromium","Mon Nov 04 08:02:47 GMT 2024","passed","Mon Nov 04 08:02:51 GMT 2024","Registration From tests found on the signup/register page @regression ","tests/registrationTests.spec.ts","",""
"","476","should save edits on blur","chromium","Mon Nov 04 08:02:50 GMT 2024","passed","Mon Nov 04 08:02:51 GMT 2024","Editing","tests-examples/demo-todo-app.spec.ts","",""
"","388","should clear text input field when an item is added","chromium","Mon Nov 04 08:02:46 GMT 2024","passed","Mon Nov 04 08:02:46 GMT 2024","New Todo","tests-examples/demo-todo-app.spec.ts","",""
"","519","should allow me to add todo items","chromium","Mon Nov 04 08:02:45 GMT 2024","passed","Mon Nov 04 08:02:46 GMT 2024","New Todo","tests-examples/demo-todo-app.spec.ts","",""
"","4740","Log user out","chromium","Mon Nov 04 08:02:51 GMT 2024","passed","Mon Nov 04 08:02:55 GMT 2024","Registration From tests found on the signup/register page @regression ","tests/registrationTests.spec.ts","",""
"","427","should cancel edits on escape","chromium","Mon Nov 04 08:02:52 GMT 2024","passed","Mon Nov 04 08:02:52 GMT 2024","Editing","tests-examples/demo-todo-app.spec.ts","",""
"","576","complete all checkbox should update state when items are completed / cleared","chromium","Mon Nov 04 08:02:48 GMT 2024","passed","Mon Nov 04 08:02:48 GMT 2024","Mark all as completed","tests-examples/demo-todo-app.spec.ts","",""
"","482","should hide other controls when editing","chromium","Mon Nov 04 08:02:50 GMT 2024","passed","Mon Nov 04 08:02:50 GMT 2024","Editing","tests-examples/demo-todo-app.spec.ts","",""
"","524","should remove completed items when clicked","chromium","Mon Nov 04 08:02:53 GMT 2024","passed","Mon Nov 04 08:02:53 GMT 2024","Clear completed button","tests-examples/demo-todo-app.spec.ts","",""
"","3317","Submit Contact Us Form","chromium","Mon Nov 04 08:02:41 GMT 2024","passed","Mon Nov 04 08:02:44 GMT 2024","Tests for the Contact Us page","tests/contactUsTests.spec.ts","",""
